Employee_ID,First_Name,Last_Name,Gender,Date_of_Birth,Email,City,State,Country,Marital_Status,Job_Title,Department,Employment_Type,Work_Location,Work_Shift,Hire_Date,Employment_Status,Base_Salary,Annual_Bonus,Performance_Rating,Skills,Languages_Spoken
E000017,Suzanne,Mitchell,Male,25-12-1983,hardyamy@parker-glover.com,East Angela,Tennessee,India,Divorced,HR Manager,Marketing,Contractor,"1497 Byrd Track Apt. 078, West Jorgeside, MN 94630",Night,15-04-2020,On Leave,30769,8911,5,Communication,French
E000018,Christopher,Stone,Male,14-06-1984,jamesmartinez@welch-pitts.com,Susanmouth,Pennsylvania,Canada,Single,Data Analyst,HR,Part-time,"083 Vasquez Crossroad, West Crystal, ME 90758",Morning,25-05-2021,Terminated,89735,3235,2,Excel,Hindi
E000019,Jacqueline,Roberts,Male,10-01-1990,kyleharvey@hotmail.com,Lake Nicholas,Massachusetts,India,Single,Data Analyst,Marketing,Contractor,"PSC 9496, Box 1334, APO AA 38563",Morning,03-12-2021,On Leave,94925,4576,4,Excel,French
E000020,Jason,Doyle,Other,23-02-1994,ymata@gmail.com,Montoyaview,Kansas,Germany,Divorced,HR Manager,Operations,Part-time,"1297 Snyder Squares Suite 511, Crystalland, MO 30978",Night,25-07-2021,Active,35311,1100,3,Java,German
E000021,Anita,Macias,Other,03-01-2003,lisalevy@gmail.com,Oconnorview,Arkansas,UK,Married,Software Engineer,IT,Contractor,"Unit 6176 Box 7572, DPO AE 34702",Night,03-07-2017,On Leave,133355,8864,1,Power BI,English
E000022,Robert,Gonzalez,Male,03-04-1996,rosestephen@browning-rhodes.com,Ryanborough,Hawaii,Canada,Single,Marketing Specialist,HR,Contractor,"539 Cruz Streets Apt. 454, Kelleyview, SD 95359",Evening,20-12-2022,Resigned,115305,8708,3,Python,German
E000023,Lisa,Gutierrez,Other,11-05-1997,mcgrathdeanna@fernandez.org,East Oscar,Indiana,Germany,Married,Data Analyst,Sales,Part-time,"877 Mark Radial Suite 728, East Saraview, MT 93076",Night,20-05-2021,Terminated,189765,18916,4,Excel,Hindi
E000024,David,Spears,Male,02-05-1987,wdavis@lam.info,West Amandachester,Pennsylvania,USA,Married,Data Analyst,HR,Contractor,"13147 Castillo Ways, Victorside, VT 55674",Night,31-03-2020,Terminated,160608,17165,5,Python,Hindi
E000025,Edward,Brown,Other,20-05-1984,mcarpenter@spencer-drake.com,New Anthony,Michigan,USA,Divorced,Accountant,HR,Part-time,"09315 Nguyen Motorway Apt. 821, New Christian, TN 65610",Morning,30-12-2020,Terminated,186730,14439,1,Leadership,Hindi
E000026,Brandon,Barker,Other,24-06-1976,pruitttimothy@bush-prince.info,New Erin,Alaska,India,Married,Software Engineer,HR,Contractor,"6244 Paula Glen, Brookeview, OH 06314",Evening,13-07-2017,Resigned,114478,19907,3,Power BI,Spanish
E000027,Jamie,Carter,Other,02-12-1985,shane31@white.com,West Rebeccastad,Colorado,Canada,Single,Marketing Specialist,Finance,Part-time,"Unit 0555 Box 7197, DPO AP 75399",Evening,08-06-2024,Active,152537,11750,5,Python,German
E000028,Phillip,Adams,Other,26-12-1965,along@clements-johnson.info,Rayside,Montana,Canada,Married,Marketing Specialist,Finance,Contractor,"6363 Bass Plaza, Johnchester, NV 50490",Morning,21-07-2015,On Leave,179503,9781,1,Excel,French
E000029,Michael,Campbell,Female,12-05-1997,fmoore@lewis-sanchez.com,Wellschester,Virginia,India,Divorced,Marketing Specialist,Operations,Part-time,"59050 Lopez Hill Apt. 865, North Tylermouth, DC 65244",Evening,13-01-2022,Terminated,160523,4995,5,Communication,English
E000030,Christine,Alvarez,Male,29-11-1984,kramerpamela@torres.net,Mileston,Texas,India,Divorced,Data Analyst,IT,Contractor,"511 Chapman Mission Apt. 195, Cathybury, AZ 15226",Evening,22-06-2019,On Leave,32747,17885,2,Python,English
E000031,Joshua,Martinez,Female,23-06-1998,xrivera@williams-dominguez.com,West Anthonyville,Montana,Germany,Married,Accountant,Marketing,Contractor,"913 Hull Row, East Alexanderview, MT 37215",Evening,08-03-2019,On Leave,153855,11986,4,Java,French
E000032,Brittney,Lamb,Other,15-01-1991,kellytyler@hotmail.com,Hoganland,Kentucky,Germany,Divorced,Accountant,Marketing,Contractor,"0926 Thomas Camp, Charlesfort, IA 82184",Morning,28-02-2016,Terminated,95725,12510,4,Java,Hindi
E000033,Sharon,Ruiz,Female,25-01-1975,brian65@daugherty.com,Malloryberg,Connecticut,UK,Single,Data Analyst,Operations,Contractor,"1920 Michael Inlet Suite 861, Maloneborough, NE 19470",Night,07-09-2018,Resigned,159981,19464,3,SQL,English
E000034,Eduardo,Black,Male,21-08-1993,gomezshannon@yahoo.com,West Kathleen,Nevada,India,Married,HR Manager,Marketing,Part-time,"4242 Garcia Crossroad Suite 165, North Samuel, MT 42505",Night,23-09-2022,Terminated,114654,9268,2,Java,English
E000035,Shawn,Roberts,Male,28-03-1985,patelsteven@swanson.com,Port Lindseyton,South Carolina,UK,Married,Accountant,HR,Contractor,"3935 Robert Place Apt. 507, Sarahberg, WY 69837",Night,05-03-2017,Active,196845,502,5,Leadership,Spanish
E000036,Alan,Gonzalez,Other,16-01-1978,pfoster@gmail.com,New Erin,Nebraska,Canada,Divorced,Data Analyst,HR,Full-time,"912 Jennifer Rest Apt. 286, New Patrickchester, MD 43611",Evening,13-10-2020,Active,149346,9531,4,Java,German
E000037,Jeffery,Chapman,Female,03-08-1973,ymartinez@white.com,West Victor,Texas,USA,Single,HR Manager,Marketing,Full-time,"02350 Eric Trail Apt. 042, East Amandaborough, WV 77369",Morning,20-10-2018,On Leave,97435,8009,5,Communication,English
E000038,Kaylee,Porter,Female,10-07-1985,douglasgonzales@yahoo.com,Lake Annatown,West Virginia,USA,Single,Sales Executive,Finance,Contractor,"9754 Mcdowell Bridge Suite 219, Josephbury, UT 37563",Morning,10-10-2018,Resigned,86886,17007,1,Python,Spanish
E000039,Chloe,Aguilar,Female,06-12-1964,michael54@johnson.com,Kathystad,Indiana,UK,Married,Accountant,Operations,Part-time,"19150 Smith Viaduct Apt. 398, New Diane, HI 73542",Night,24-10-2016,On Leave,96803,11542,1,Java,German
E000040,Maria,Smith,Male,09-08-1971,denisemurphy@hotmail.com,Careytown,Rhode Island,India,Single,Sales Executive,Finance,Full-time,"PSC 8835, Box 0652, APO AE 32755",Evening,05-02-2019,Active,61551,17434,3,Power BI,French
E000041,Melissa,Huang,Male,02-07-1979,stephenroberts@vazquez-smith.org,Claybury,Illinois,India,Married,Data Analyst,Sales,Full-time,"6039 James Summit, Brittanyfort, KS 26092",Morning,19-03-2025,Terminated,146216,17713,4,Leadership,German
E000042,Mary,Thomas,Female,24-02-1993,fclark@gmail.com,Taylorshire,Virginia,USA,Divorced,HR Manager,IT,Part-time,"USNV Reynolds, FPO AE 56691",Morning,01-04-2017,Terminated,41394,13435,5,Python,French
E000043,Nathaniel,Patterson,Male,01-04-1976,brandonhumphrey@long-callahan.info,Stacymouth,Minnesota,USA,Single,Software Engineer,Operations,Full-time,"USNS Brown, FPO AE 26336",Night,22-10-2021,Resigned,99092,4114,2,Power BI,German
E000044,Jackie,Ramirez,Male,18-10-2001,mbryant@gmail.com,Yvetteburgh,Oregon,UK,Married,Software Engineer,HR,Part-time,"08667 Gardner Meadow, Williamsmouth, LA 31178",Evening,28-12-2017,Terminated,33890,13568,3,Python,German
E000045,Tyler,Sanchez,Female,09-01-1991,patelriley@yahoo.com,South Victor,Idaho,UK,Married,HR Manager,Sales,Contractor,"81987 Erin Oval Suite 491, North Vincent, NC 62432",Evening,09-10-2021,Resigned,71606,3367,1,SQL,English
E000046,Jessica,Eaton,Male,11-11-1990,jill44@leonard.com,Port Davidburgh,Washington,Canada,Divorced,HR Manager,Sales,Full-time,"750 Eric River Suite 994, Gonzalezberg, CA 58470",Morning,20-06-2024,Active,117313,8095,1,Java,English
E000047,Wendy,Huerta,Female,10-01-1976,stephen83@jenkins.com,Patriciaton,Wisconsin,USA,Single,Data Analyst,Finance,Part-time,"USCGC Jordan, FPO AE 20617",Evening,21-02-2024,On Leave,171699,5141,5,Java,French
E000048,Randy,Black,Female,15-03-1990,dana15@torres.com,Cheyennemouth,New Jersey,India,Married,Software Engineer,Marketing,Contractor,"1413 Valentine Club, Lake Brianside, WY 17908",Night,14-05-2020,On Leave,38792,3951,1,Python,Spanish
E000049,Gary,Le,Other,06-01-1967,drichards@richards.net,Josephmouth,Colorado,Canada,Married,Software Engineer,Operations,Full-time,"3843 Joshua Stream, East Natalie, NC 03459",Morning,09-04-2024,Terminated,184969,14887,4,Power BI,German
E000050,Judy,Young,Female,07-11-1982,michael74@mcdonald.com,West Jillmouth,Iowa,UK,Single,Sales Executive,Operations,Part-time,"32858 Smith Point, Tannerport, ND 20124",Night,04-10-2019,Terminated,98148,1573,3,Communication,Spanish
E000051,Kristy,Hart,Male,23-03-1977,nathanielchandler@castillo.org,South Jasmine,Arizona,UK,Divorced,HR Manager,Marketing,Contractor,"PSC 1586, Box 1027, APO AA 65797",Evening,13-11-2023,On Leave,154243,13359,1,Leadership,Spanish
E000052,Peter,Williams,Other,18-01-2000,amanda73@rodriguez-west.com,New Robert,Georgia,Canada,Married,HR Manager,HR,Full-time,"PSC 9504, Box 3390, APO AA 15922",Morning,08-11-2019,On Leave,150174,19018,5,Python,German
E000053,Michelle,Thomas,Female,25-10-1999,rebeccawong@wiley.com,Thomasmouth,Massachusetts,Germany,Divorced,Accountant,Finance,Full-time,"26808 Stephen Crossroad Apt. 647, Pollardmouth, FL 89656",Morning,25-08-2021,Terminated,184555,2768,3,Power BI,French
E000054,Jennifer,Salazar,Other,10-12-1966,owilson@hotmail.com,Lake Louis,Louisiana,USA,Single,Sales Executive,HR,Part-time,"06020 Robert Crescent, Lynchmouth, WA 86636",Evening,26-12-2021,Active,154358,5302,1,Excel,French
E000055,Michelle,Parrish,Male,12-06-1999,ijohnson@hotmail.com,Glennmouth,Kansas,Canada,Divorced,HR Manager,Operations,Contractor,"414 Anderson Point, Barreraside, DC 73143",Evening,15-10-2015,Active,78555,13746,2,Communication,Spanish
E000056,Michael,Meza,Female,18-08-1970,francistaylor@clarke.com,Markchester,South Dakota,India,Divorced,Data Analyst,Operations,Contractor,"52952 Charles Bypass, Port Jaychester, AL 07165",Evening,28-12-2024,On Leave,47159,1211,3,SQL,French
E000057,Adam,White,Male,10-03-1987,lindsaycalderon@rogers.com,Port Nancy,New York,Canada,Single,Marketing Specialist,Marketing,Full-time,"7089 Parker Crescent, North Jane, ME 46006",Morning,15-07-2023,On Leave,140510,15445,3,Leadership,French
E000058,Kristin,Bennett,Other,14-12-1977,hhays@hotmail.com,West Susanport,North Carolina,Germany,Divorced,Accountant,HR,Part-time,"479 Michael Fields Suite 147, North Johnfurt, SD 79269",Night,12-07-2021,On Leave,136530,15815,3,Power BI,German
E000059,Jessica,Bautista,Female,21-01-1983,barnettjason@johnson-watson.info,Katherinetown,New Hampshire,USA,Married,HR Manager,Finance,Part-time,"2248 Jennifer Harbor, Sanchezton, IL 44214",Morning,21-09-2015,On Leave,110077,1160,1,SQL,German
E000060,Michael,Neal,Other,21-01-1982,wwalsh@hotmail.com,Port Kellishire,Vermont,UK,Single,Marketing Specialist,Sales,Full-time,"017 John Summit Apt. 819, Philipfurt, MO 42003",Evening,01-01-2018,On Leave,65920,7041,2,Leadership,Hindi
E000061,Susan,Edwards,Other,12-03-2001,margaret54@gmail.com,Lake Jennifer,New Mexico,UK,Married,Marketing Specialist,Marketing,Full-time,"603 Ashley Plains Suite 860, Brownside, WA 37687",Evening,19-06-2022,On Leave,49457,18767,4,Excel,English
E000062,Stephen,Quinn,Female,26-09-1975,kristina74@valdez.com,Port Kellistad,New Mexico,UK,Single,HR Manager,Operations,Full-time,"26474 Nicole Plains Suite 512, Millerberg, KY 55140",Night,21-03-2017,On Leave,108953,10846,3,Excel,English
E000063,Adam,Richardson,Other,30-06-1974,ugonzalez@jones.biz,Yorkside,Oregon,UK,Single,Software Engineer,Marketing,Full-time,"577 Hodge Bridge, North Lauriebury, MN 84232",Evening,16-11-2021,Terminated,82995,5876,1,Communication,French
E000064,Victor,Smith,Male,18-11-1985,tlara@rogers-herrera.com,Tarafort,Virginia,Canada,Married,Data Analyst,Marketing,Full-time,"2305 Stephanie Wall, Georgestad, CT 63724",Evening,17-08-2022,On Leave,39692,19924,2,Java,Spanish
E000065,Lauren,Weber,Other,09-03-1975,joshuafreeman@hotmail.com,North Juan,Nebraska,Germany,Divorced,Marketing Specialist,Sales,Part-time,"11088 Walker Shore, Lake Kimberlymouth, HI 16826",Night,28-01-2023,Active,67065,12889,5,Communication,German
E000066,Brenda,Contreras,Male,09-01-1974,eddiecook@yahoo.com,New Wandaland,Connecticut,Germany,Divorced,HR Manager,Finance,Part-time,"2906 Walton Underpass Suite 684, Douglashaven, MO 50046",Evening,01-07-2023,Active,129299,13882,3,Java,English
E000067,Claudia,Powell,Male,21-10-1994,jason75@brooks-mahoney.net,Martineztown,Illinois,UK,Divorced,Marketing Specialist,HR,Part-time,"835 Kelly Wells Apt. 562, Lake Toddmouth, WA 38209",Night,22-10-2023,Active,193678,14738,2,Java,German
E000068,Sheryl,Harris,Other,29-07-1973,jimmyandrade@crawford-hodge.com,Lake John,New Jersey,India,Married,Accountant,IT,Contractor,"3393 Michelle Viaduct, New Jenniferbury, AK 01300",Night,17-05-2019,Resigned,41534,1095,2,Java,French
E000069,Karen,Bowman,Male,23-07-1986,brookspaul@gmail.com,Timothyburgh,West Virginia,UK,Divorced,Sales Executive,IT,Contractor,"823 Barbara Street Apt. 959, Melindastad, MD 26041",Morning,19-05-2025,On Leave,70397,5901,1,Python,Hindi
E000070,Ashley,Jones,Female,21-04-1992,andreabriggs@ramirez.com,Jeffreyton,Utah,Canada,Married,Data Analyst,Operations,Full-time,"3139 Berry Garden, Keithbury, HI 97447",Night,22-06-2021,Resigned,121387,8215,5,Communication,German
E000071,John,Herrera,Male,09-05-1992,smithvickie@leonard-hamilton.com,Port Michaelfurt,Virginia,Germany,Single,HR Manager,Sales,Full-time,"848 Smith Valleys, Pinedamouth, RI 21329",Morning,02-09-2019,On Leave,31016,12911,3,Java,Hindi
E000072,Kelly,Anderson,Male,09-12-1969,johnsonvincent@gmail.com,Lewisstad,Minnesota,USA,Divorced,Marketing Specialist,HR,Part-time,"23255 Alexandria Branch, Larastad, PA 46820",Evening,17-09-2018,Terminated,85591,14123,5,Java,Hindi
E000073,Patricia,Perry,Male,14-03-1972,vsanchez@miller.com,Lake Craig,Indiana,UK,Divorced,Accountant,Sales,Part-time,"3937 Michelle Heights Suite 313, East Jasminechester, MT 73622",Morning,20-07-2015,Terminated,53247,1079,3,Power BI,Spanish
E000074,Karen,Chan,Female,20-03-2002,kimberly10@gmail.com,Harveyberg,Missouri,UK,Divorced,Data Analyst,HR,Full-time,"81989 Price Rest Suite 870, Aguilarchester, AK 86797",Morning,13-09-2020,Active,54300,12510,1,Java,French
E000075,Jessica,Anthony,Female,04-08-1975,williamspatrick@gmail.com,Lake Julia,North Carolina,India,Single,Sales Executive,Finance,Full-time,"182 Brian Shoal, Joelton, MI 93393",Night,30-06-2020,Resigned,112798,19231,2,Leadership,Hindi
E000076,Timothy,Johnson,Female,15-06-1986,dwalker@hudson.org,Lake Holly,Maine,India,Single,Marketing Specialist,Sales,Contractor,"489 Steven Prairie Suite 237, Weaverfort, NV 25734",Evening,28-05-2020,Terminated,39268,18344,1,Java,Hindi
E000077,Heidi,Moran,Other,23-08-2000,clayton53@smith.com,Elizabethfurt,North Carolina,Germany,Single,Data Analyst,HR,Full-time,"PSC 2780, Box 0017, APO AA 14444",Night,13-04-2024,On Leave,116807,1473,2,Python,Spanish
E000078,Travis,Middleton,Female,20-08-1999,perryarnold@hotmail.com,Port Johnberg,New York,Canada,Single,Marketing Specialist,Operations,Contractor,"821 Marcus Hill Apt. 848, Englishtown, AR 32755",Evening,23-11-2021,Resigned,42185,4888,1,SQL,Hindi
E000079,Laurie,Duran,Male,11-07-1969,william90@yahoo.com,Jonathanbury,Indiana,UK,Married,Sales Executive,HR,Contractor,"378 Sutton Pike Apt. 510, Pamelaland, NV 08669",Evening,09-11-2023,Active,169643,4979,3,Communication,German
E000080,Travis,Frank,Female,27-11-1966,petersondouglas@hotmail.com,South Stevenfort,Maine,USA,Single,Marketing Specialist,Sales,Part-time,"7761 Mcbride Corners, Butlerfort, IL 11916",Evening,21-06-2021,On Leave,68044,1212,3,Leadership,Hindi
E000081,Angela,Perez,Female,19-02-1999,william27@simpson.com,New David,Alaska,USA,Single,Sales Executive,Operations,Full-time,"825 Rebecca Views, Davisfort, IA 11621",Evening,12-03-2024,Terminated,81214,9001,5,Power BI,French
E000082,Charles,Jacobs,Male,11-12-1991,jjohnson@yahoo.com,Barnettport,Hawaii,UK,Married,Sales Executive,Sales,Part-time,"860 Patrick Corners Suite 390, East Bradley, OH 87328",Evening,23-05-2023,Resigned,144752,13248,3,Excel,German
E000083,Leslie,Patterson,Other,25-05-1991,amanda08@yahoo.com,New Michaelmouth,Hawaii,Germany,Married,Accountant,IT,Contractor,"4846 Bond Forest Apt. 873, Patrickview, OK 45077",Evening,23-09-2019,Terminated,78984,419,5,Power BI,Hindi
E000084,Robert,Diaz,Female,15-09-2000,millereric@gamble.net,Normanmouth,Delaware,Germany,Divorced,Accountant,Operations,Contractor,"2047 Taylor Creek Suite 378, Cainland, SC 73927",Evening,22-04-2019,On Leave,70774,15608,5,Leadership,English
E000085,Nicole,Rodgers,Other,27-04-2002,nathanreid@hotmail.com,Mccoychester,Louisiana,India,Single,Marketing Specialist,Sales,Full-time,"837 John Burgs, Port Angelachester, MD 08152",Morning,04-07-2019,Active,32568,3659,3,Excel,German
E000086,James,Shah,Other,08-03-1999,davidharper@gmail.com,West Lisashire,Wisconsin,Canada,Divorced,HR Manager,Marketing,Contractor,"Unit 5046 Box 4372, DPO AA 15681",Evening,16-06-2019,Active,150151,5283,5,Communication,German
E000087,Jaime,Blackwell,Other,09-06-2001,steven36@hotmail.com,East Steven,Vermont,UK,Divorced,Marketing Specialist,Sales,Part-time,"353 Kerr Park Apt. 766, New Ericmouth, MS 07186",Night,10-01-2020,Terminated,163767,10715,2,Communication,French
E000088,Julie,Davis,Male,12-05-1981,marcbennett@gmail.com,Arroyotown,Florida,UK,Divorced,Accountant,Sales,Contractor,"674 Smith Shoal Apt. 723, North Thomas, AL 18843",Morning,04-08-2017,Terminated,154375,16165,3,Python,Hindi
E000089,Amanda,Pierce,Other,22-02-1975,loripowell@gmail.com,North Christinemouth,Alaska,India,Single,Sales Executive,Marketing,Part-time,"9074 Wright Ways Apt. 833, Melissaside, OK 95362",Evening,15-09-2020,Terminated,166330,1340,1,Excel,English
E000090,Robert,Webster,Other,13-01-1978,jeremypeterson@white-warner.com,Martinbury,North Dakota,UK,Married,Software Engineer,Finance,Full-time,"62210 Jeffrey Mount Suite 254, Williamhaven, WY 76285",Morning,07-06-2018,Resigned,69504,14805,5,Java,French
E000091,Elizabeth,Barber,Male,25-07-1989,ngonzalez@walker.com,Wuville,Maine,Canada,Divorced,Accountant,Marketing,Part-time,"015 Cochran Mill, West Johnmouth, AK 61826",Evening,09-11-2018,On Leave,194231,10584,4,Java,French
E000092,Philip,Harrington,Other,04-05-1983,jamierush@gmail.com,West Frank,North Carolina,USA,Divorced,HR Manager,IT,Full-time,"3735 Patricia Estates Suite 239, Devonstad, DC 50043",Morning,24-01-2018,On Leave,43986,14780,1,Excel,French
E000093,Theodore,Martin,Other,29-05-1990,amyolsen@johnson.info,South Bradberg,Alaska,USA,Married,Accountant,IT,Part-time,"513 Johnson Groves Suite 482, Nelsonland, VT 43962",Evening,04-11-2017,Terminated,91858,5137,4,Java,French
E000094,Robert,Boyd,Male,09-10-1979,tdunn@hotmail.com,Norrisborough,Arizona,Canada,Divorced,Data Analyst,Finance,Full-time,"16610 Green Avenue Suite 603, Jessicachester, WA 78132",Morning,22-12-2015,On Leave,159312,17745,4,SQL,English
E000095,Phyllis,Contreras,Male,25-03-1965,crawfordchristopher@klein.biz,West Christinemouth,Alaska,USA,Single,Sales Executive,Sales,Full-time,"697 Frey Ridges Apt. 063, New Michelleshire, MN 94440",Morning,14-12-2016,Resigned,42666,591,3,Communication,Spanish
E000096,Travis,Strong,Female,17-01-1986,michelletaylor@hotmail.com,Noblemouth,Oklahoma,Germany,Divorced,Software Engineer,HR,Full-time,"552 Matthew Rue Suite 820, Lake Nicholasburgh, HI 98889",Night,24-03-2025,Active,68660,526,3,Communication,Spanish
E000097,Adam,Stark,Female,02-10-1977,mrollins@richardson.com,Brownport,Virginia,UK,Married,Software Engineer,HR,Full-time,"8849 Jennifer Stream Suite 924, East Austin, WA 09545",Night,05-05-2016,Resigned,164633,7855,2,Java,Spanish
E000098,Scott,Koch,Female,29-12-1994,james71@garner-mora.info,New Erica,Iowa,Canada,Married,HR Manager,Finance,Part-time,"12057 Darrell Ford, West Kathrynborough, NV 29084",Morning,10-06-2018,Active,56854,10695,4,Excel,English
E000099,Paul,Crawford,Other,06-01-1972,speterson@palmer-thompson.info,Loritown,Pennsylvania,Germany,Single,Marketing Specialist,HR,Full-time,"55136 Jim Walks, Victoriaborough, MO 96312",Night,09-05-2019,On Leave,94505,1292,1,Leadership,Spanish
E000100,Cindy,George,Other,13-09-1985,garzaadam@yahoo.com,East Johnberg,North Dakota,India,Divorced,Sales Executive,Marketing,Part-time,"67070 Suzanne Rapid Apt. 468, East Keithside, GA 33866",Evening,14-05-2023,On Leave,134488,18038,1,Excel,French
E000101,Tabitha,Bolton,Other,11-10-1987,fortiz@king.com,Morganstad,Utah,Germany,Single,Accountant,Sales,Part-time,"84609 Eric Walk, Johnsonville, LA 26645",Night,11-12-2022,Active,52662,16571,5,SQL,Hindi
E000102,Heather,Martin,Male,12-09-1985,basschristopher@green.com,Lauratown,Texas,India,Married,HR Manager,HR,Part-time,"749 Hubbard Tunnel Suite 024, Williamstad, MI 62654",Night,02-04-2018,Terminated,38392,19142,1,Python,Hindi
E000103,Heather,Smith,Other,23-03-1975,brockmitchell@yahoo.com,Dorothyborough,Michigan,India,Divorced,Marketing Specialist,Marketing,Full-time,"63468 James Rue, Thomasfort, ID 26582",Night,12-05-2020,Terminated,60535,8625,1,Excel,English
E000104,Scott,Lawson,Female,28-11-1964,maysamantha@gmail.com,Graceville,Idaho,Germany,Single,Marketing Specialist,Operations,Contractor,"8761 Austin Hollow Suite 846, Ronaldville, AZ 69716",Evening,19-04-2019,Resigned,143569,6431,4,Communication,French
E000105,Kenneth,Lee,Male,08-09-2000,gregross@hotmail.com,Lake Natalieview,Illinois,India,Divorced,Sales Executive,Sales,Contractor,"7787 Webb Underpass, West Kevinhaven, SD 60966",Night,10-08-2022,Active,82256,15926,1,Leadership,Spanish
E000106,Regina,Cole,Male,01-08-1966,matthew11@gmail.com,Robertview,South Dakota,Germany,Divorced,Accountant,Finance,Part-time,"6605 Trevino Field Apt. 265, New Heatherport, CA 50727",Evening,25-09-2018,On Leave,119135,11704,2,Communication,German
E000107,Timothy,Jordan,Male,06-02-1990,qsoto@hotmail.com,Brandonland,Kansas,UK,Single,Accountant,Operations,Part-time,"Unit 5848 Box 8717, DPO AE 64416",Evening,07-06-2015,Terminated,157478,437,2,SQL,French
